Gender,Age at which Loan was Taken,Year of Application,A-levels,Education,Employment type,Current Employment Sector,Proposed Business Sector,Current Annual Income,Total Capital,Address,Refree Present,Refree 1,Refree 2,Refree 3,Loan Payment Failure
D,43,2023,42,STEM,Salaried,Civil,Agriculture,140994,77549,PQR,0,NA,NA,NA,0
Q,46,2023,43,Business,Salaried,Civil,IT,112386,79174,ABC,1,Self Business:20706,Self Business:31977,Self Business:40680,1
Q,47,2012,43,Arts,Salaried,Finance,Civil,52278,72044,MNP,1,Contractual:101691,Salaried:149388,Self Business:95974,0
C,50,1998,90,Arts,Salaried,IT,Agriculture,123215,29306,GHI,1,Contractual:78521,Contractual:96271,Self Business:127265,1
P,50,2013,48,Law,Self Business,IT,Agriculture,82796,40718,GHI,0,NA,NA,NA,0
Q,46,1998,88,STEM,Salaried,Civil,IT,149463,25719,PQR,0,NA,NA,NA,0
Q,44,1998,46,STEM,Self Business,Civil,Civil,110555,69486,PQR,1,Salaried:84606,Contractual:115260,Salaried:51663,0
C,43,2016,77,STEM,Salaried,Finance,Agriculture,140484,72986,ABC,0,NA,NA,NA,0
D,41,2004,74,STEM,Salaried,Agriculture,Civil,77049,68646,ABC,0,NA,NA,NA,0
P,45,2015,90,Arts,Salaried,IT,Finance,103215,74511,GHI,1,Contractual:78216,Salaried:90706,Self Business:79950,0
D,50,2018,87,Law,Salaried,Finance,IT,90570,43292,TUK,1,Contractual:36976,Self Business:23019,Salaried:40016,1
P,42,2009,57,Business,Self Business,IT,Civil,129785,53683,TUK,1,Contractual:96961,Self Business:75752,Contractual:119293,1
P,42,2010,45,STEM,Salaried,Civil,Agriculture,99693,59348,MNP,0,NA,NA,NA,1
C,42,2022,68,Arts,Contractual,IT,Agriculture,74141,66654,GHI,1,Salaried:70179,Salaried:110115,Salaried:52571,0
P,47,2003,67,STEM,Salaried,Civil,Finance,41396,23148,TUK,0,NA,NA,NA,0
Q,41,2006,43,Business,Contractual,Agriculture,IT,22319,49671,TUK,0,NA,NA,NA,1
Q,40,2001,90,Law,Contractual,Finance,IT,45152,32429,TUK,1,Salaried:147363,Contractual:111251,Salaried:141754,0
P,40,2023,56,Law,Salaried,Agriculture,Agriculture,102485,32956,XYZ,1,Contractual:92418,Contractual:116658,Contractual:125018,1
C,40,2002,85,Business,Contractual,Finance,Finance,67932,26649,XYZ,0,NA,NA,NA,0
D,48,2020,80,STEM,Self Business,IT,Civil,136036,37470,XYZ,0,NA,NA,NA,1
D,46,2008,90,Business,Contractual,IT,Finance,143135,20211,GHI,0,NA,NA,NA,0
C,41,2002,60,STEM,Salaried,Finance,Agriculture,58005,42055,GHI,1,Contractual:103393,Contractual:48216,Self Business:143237,1
P,41,2012,44,Business,Salaried,Agriculture,IT,82464,53307,ABC,1,Contractual:69762,Contractual:77632,Self Business:124480,1
P,47,2021,60,Law,Contractual,IT,Civil,112029,69183,XYZ,1,Self Business:82064,Contractual:57112,Salaried:77761,0
P,47,2008,47,Law,Contractual,IT,Civil,68141,77073,PQR,1,Salaried:106847,Self Business:128397,Contractual:120339,1
D,46,2022,81,STEM,Salaried,Agriculture,IT,97750,20052,GHI,0,NA,NA,NA,0
D,44,2015,57,STEM,Contractual,IT,IT,113317,55276,XYZ,0,NA,NA,NA,0
P,48,2021,49,STEM,Salaried,Finance,Finance,95229,23192,XYZ,1,Self Business:24666,Contractual:27376,Self Business:39658,1
C,48,2021,81,Law,Contractual,Finance,Civil,30498,23079,XYZ,1,Contractual:112874,Self Business:131016,Self Business:149329,1
Q,46,2018,80,Law,Contractual,Finance,Agriculture,31114,57551,GHI,0,NA,NA,NA,1
Q,40,2002,73,STEM,Contractual,Agriculture,Agriculture,72403,62078,ABC,1,Contractual:125294,Salaried:108177,Salaried:134329,1
Q,47,2012,59,Arts,Contractual,Finance,Civil,74506,71626,XYZ,0,NA,NA,NA,0
D,47,2006,85,Business,Self Business,Civil,Civil,138704,68965,XYZ,1,Self Business:94269,Self Business:143436,Contractual:56297,0
P,40,2002,48,STEM,Self Business,IT,Finance,59718,40258,GHI,1,Self Business:46046,Contractual:133885,Self Business:85378,0
Q,43,2021,58,Law,Self Business,IT,Agriculture,105367,68119,XYZ,1,Salaried:110245,Self Business:127152,Self Business:133276,0
Q,41,2007,62,Arts,Contractual,Finance,Finance,57911,34428,GHI,0,NA,NA,NA,0
D,48,2022,59,Law,Self Business,Finance,Agriculture,43062,64976,GHI,0,NA,NA,NA,0
C,46,2009,73,Business,Contractual,Finance,Civil,30166,75068,GHI,1,Salaried:67613,Contractual:48726,Self Business:88530,1
P,44,2008,41,STEM,Contractual,IT,Civil,84021,44432,XYZ,0,NA,NA,NA,1
Q,47,2021,70,Law,Contractual,IT,IT,125778,22601,XYZ,1,Contractual:113741,Contractual:59586,Self Business:43418,1
Q,41,2012,84,Law,Self Business,IT,IT,72573,35039,TUK,0,NA,NA,NA,0
D,48,2019,85,Arts,Salaried,Agriculture,Civil,103645,74807,MNP,1,Contractual:130325,Contractual:130574,Contractual:79750,1
P,50,2020,74,Law,Self Business,IT,Civil,135794,39350,PQR,1,Contractual:140130,Contractual:91019,Contractual:51952,1
C,49,2005,80,Law,Contractual,IT,Civil,77488,27275,TUK,1,Contractual:41054,Contractual:65014,Self Business:72175,1
P,44,2015,46,Law,Salaried,Finance,Finance,62263,57344,XYZ,0,NA,NA,NA,1
P,46,2002,87,Business,Contractual,IT,Finance,20947,49129,GHI,0,NA,NA,NA,1
Q,45,2003,74,STEM,Salaried,Civil,IT,56980,51992,MNP,1,Salaried:38196,Self Business:27402,Self Business:39198,1
Q,40,2018,51,Arts,Self Business,Civil,IT,59860,46350,ABC,1,Salaried:82374,Contractual:144878,Salaried:127426,1
Q,45,2002,48,Arts,Salaried,Agriculture,Finance,50262,77066,MNP,1,Contractual:44930,Salaried:106210,Self Business:64596,1
P,45,2005,79,Business,Salaried,Civil,Finance,82976,32036,PQR,1,Self Business:146032,Salaried:140433,Self Business:58815,1
C,49,2012,76,Business,Salaried,Civil,Civil,124844,79214,MNP,1,Salaried:125270,Contractual:97344,Contractual:126292,0
C,48,2010,71,Arts,Self Business,Agriculture,Civil,42641,41273,TUK,0,NA,NA,NA,0
P,46,1999,77,Arts,Salaried,Civil,IT,121772,52125,MNP,1,Self Business:138526,Contractual:139920,Self Business:45581,0
P,47,2023,78,STEM,Self Business,IT,IT,137757,37423,TUK,0,NA,NA,NA,0
P,45,2011,66,Arts,Salaried,IT,Agriculture,65184,28436,ABC,1,Salaried:24889,Contractual:28131,Self Business:39121,1
C,48,2006,57,STEM,Salaried,Agriculture,Finance,82931,76821,MNP,0,NA,NA,NA,1
P,41,2020,74,Business,Self Business,Finance,Civil,74292,30275,TUK,0,NA,NA,NA,1
P,46,2007,89,Business,Contractual,IT,Finance,62286,59583,ABC,1,Contractual:89288,Contractual:107926,Contractual:89841,1
P,40,2004,83,Business,Contractual,Finance,Civil,65590,72987,PQR,0,NA,NA,NA,0
D,49,2019,63,STEM,Contractual,Agriculture,Agriculture,144975,46372,TUK,0,NA,NA,NA,0
D,45,2008,60,Business,Salaried,Finance,IT,112414,33556,MNP,0,NA,NA,NA,1
P,45,2001,62,Law,Salaried,Agriculture,Civil,129148,60312,PQR,1,Self Business:66654,Contractual:101231,Salaried:123514,1
C,40,2005,77,Law,Contractual,Civil,Agriculture,35527,51160,MNP,1,Contractual:138599,Contractual:84534,Contractual:80999,1
D,41,2001,52,Arts,Contractual,IT,Finance,135097,78181,ABC,0,NA,NA,NA,1
C,41,2021,81,STEM,Salaried,Agriculture,Civil,107924,59675,XYZ,1,Contractual:69287,Contractual:80749,Contractual:97493,1
P,41,2020,62,Business,Self Business,Finance,Agriculture,93783,54806,TUK,0,NA,NA,NA,0
Q,45,2013,54,Business,Self Business,Finance,Agriculture,82448,23819,MNP,0,NA,NA,NA,0
C,50,2008,41,Law,Self Business,Civil,IT,132232,74372,ABC,1,Contractual:90469,Contractual:97935,Self Business:116410,1
Q,45,2022,75,Law,Salaried,Civil,Finance,54260,41465,ABC,1,Contractual:36471,Contractual:30402,Contractual:39237,1
P,47,2013,74,STEM,Self Business,Agriculture,Civil,42053,63828,MNP,1,Contractual:74243,Self Business:113689,Salaried:117082,0
P,40,2006,53,Business,Salaried,IT,Civil,149414,60012,XYZ,1,Contractual:85655,Contractual:91111,Contractual:90737,0
D,44,2009,70,Law,Contractual,Civil,Civil,20415,21512,XYZ,1,Self Business:87634,Self Business:58834,Contractual:122828,1
P,41,2019,52,Business,Contractual,Agriculture,IT,56554,45204,GHI,1,Salaried:109359,Contractual:85627,Contractual:115303,0
D,42,2022,68,Arts,Self Business,IT,Finance,41317,38002,PQR,1,Contractual:95260,Contractual:87859,Contractual:86343,1
D,50,2020,76,Arts,Contractual,Finance,Civil,136702,41967,GHI,0,NA,NA,NA,1
Q,43,1998,68,Arts,Salaried,Civil,IT,141570,30050,ABC,1,Contractual:46303,Salaried:146426,Contractual:104062,1
D,43,2018,73,Business,Salaried,Civil,IT,43371,30114,XYZ,1,Contractual:142323,Salaried:79927,Contractual:70022,0
C,44,2012,89,Arts,Contractual,IT,Finance,20677,32004,MNP,0,NA,NA,NA,1
Q,44,2008,59,Arts,Self Business,Finance,Civil,49462,55753,TUK,0,NA,NA,NA,0
P,42,2007,53,Business,Contractual,Finance,Finance,38468,21261,MNP,0,NA,NA,NA,1
D,43,2001,51,STEM,Salaried,Agriculture,Agriculture,43994,58464,PQR,1,Salaried:78360,Self Business:115252,Self Business:52718,0
Q,44,2004,50,Law,Salaried,Agriculture,Finance,84066,77810,TUK,0,NA,NA,NA,0
P,41,2007,53,Law,Contractual,IT,Civil,31677,44664,TUK,1,Contractual:124315,Contractual:96283,Salaried:100146,1
P,42,1998,72,Business,Self Business,Agriculture,Finance,97479,70448,ABC,1,Self Business:127142,Contractual:119451,Contractual:41860,1
C,40,2005,84,Arts,Self Business,Agriculture,Civil,95285,59914,GHI,0,NA,NA,NA,0
Q,47,2008,53,Law,Contractual,Finance,Civil,136988,76531,GHI,1,Self Business:49955,Self Business:78840,Salaried:54851,0
P,45,2007,89,STEM,Salaried,Civil,Agriculture,62766,48653,TUK,1,Self Business:146074,Contractual:103992,Salaried:55150,1
P,44,2002,57,Arts,Contractual,Finance,Finance,64443,34170,MNP,1,Contractual:70311,Salaried:133119,Contractual:146277,0
P,48,2019,44,Arts,Self Business,Agriculture,Civil,62094,57719,ABC,1,Contractual:119814,Contractual:57453,Salaried:44218,0
Q,41,2013,55,Business,Contractual,Finance,Civil,83985,38502,PQR,0,NA,NA,NA,0
P,44,2010,49,STEM,Contractual,Finance,Agriculture,140936,26775,ABC,1,Contractual:141920,Self Business:140645,Salaried:134785,0
C,41,2002,82,STEM,Salaried,Civil,Finance,69806,43491,ABC,0,NA,NA,NA,0
C,48,2003,87,Law,Self Business,IT,Agriculture,139445,36584,PQR,0,NA,NA,NA,0
P,45,2005,51,Law,Salaried,Finance,Civil,46324,44880,TUK,1,Self Business:25832,Salaried:24970,Salaried:39534,1
D,44,2001,55,Law,Self Business,Finance,IT,100563,20304,GHI,0,NA,NA,NA,1
D,47,2005,62,Business,Self Business,IT,Finance,147624,68399,ABC,1,Self Business:38611,Salaried:37342,Self Business:39410,1
C,43,2019,62,Arts,Salaried,Finance,Civil,57097,54963,TUK,1,Salaried:37512,Salaried:20851,Self Business:39071,1
P,41,2017,43,Law,Self Business,Finance,IT,83978,47130,TUK,1,Salaried:22091,Salaried:32440,Contractual:40992,1
P,40,1998,42,Arts,Self Business,IT,Finance,43481,21467,ABC,0,NA,NA,NA,0
P,44,2006,65,Arts,Self Business,IT,Finance,84042,46395,MNP,1,Contractual:101563,Self Business:127529,Salaried:139318,0
Q,43,2017,44,Business,Self Business,Civil,Agriculture,108769,34995,XYZ,0,NA,NA,NA,0
C,40,2017,71,Arts,Contractual,Finance,Finance,40877,20012,TUK,1,Contractual:88793,Contractual:144353,Self Business:121077,1
P,41,2014,48,STEM,Salaried,Agriculture,Agriculture,137336,42094,GHI,1,Contractual:119926,Contractual:128132,Contractual:145220,1
P,42,2018,63,Business,Salaried,IT,Finance,119673,71775,PQR,0,NA,NA,NA,1
P,46,2000,63,Law,Contractual,Finance,Agriculture,24034,27837,TUK,1,Contractual:124772,Salaried:116387,Self Business:48360,1
D,41,2021,80,Business,Salaried,IT,Agriculture,105625,32336,GHI,1,Contractual:100019,Self Business:62743,Self Business:66136,1
D,44,1999,52,STEM,Self Business,Civil,Agriculture,110205,43653,ABC,0,NA,NA,NA,0
Q,48,2006,71,Law,Self Business,IT,Agriculture,46384,22435,MNP,0,NA,NA,NA,0
Q,40,2015,46,Law,Self Business,Finance,Finance,74632,33398,PQR,0,NA,NA,NA,0
D,50,2006,75,Business,Salaried,IT,Civil,48019,55285,GHI,1,Salaried:126520,Salaried:115908,Salaried:147553,0
P,44,1999,67,Law,Self Business,Agriculture,IT,79027,74304,TUK,1,Salaried:68254,Contractual:122898,Salaried:139066,0
P,49,2020,81,Arts,Contractual,Civil,Civil,71749,57868,XYZ,0,NA,NA,NA,0
Q,50,1998,60,Arts,Salaried,Finance,Civil,91229,63346,ABC,1,Contractual:122397,Salaried:131132,Self Business:62490,0
D,41,2018,80,Law,Contractual,Finance,IT,140617,64165,ABC,1,Contractual:69108,Salaried:61896,Contractual:132734,0
Q,50,2020,63,Arts,Contractual,IT,Finance,51694,32310,XYZ,1,Contractual:121375,Contractual:97196,Contractual:73678,1
D,41,2002,64,Arts,Self Business,IT,Civil,97709,63645,ABC,0,NA,NA,NA,1
P,46,1998,86,Business,Self Business,Civil,IT,74767,76412,XYZ,0,NA,NA,NA,1
P,46,2013,63,STEM,Salaried,IT,Agriculture,47824,20927,GHI,0,NA,NA,NA,0
P,43,2002,72,Business,Salaried,Agriculture,Agriculture,42829,79895,ABC,0,NA,NA,NA,1
D,45,2002,69,STEM,Self Business,Finance,Agriculture,58685,57524,TUK,1,Salaried:115366,Self Business:50679,Self Business:125166,0
C,42,2019,42,Arts,Salaried,Finance,Agriculture,90768,39439,MNP,1,Contractual:57659,Contractual:81954,Contractual:55880,1
C,40,2017,56,Business,Contractual,Agriculture,Finance,102536,30292,XYZ,0,NA,NA,NA,1
C,50,2019,68,Business,Salaried,Civil,Civil,100643,49513,XYZ,0,NA,NA,NA,0
P,40,2014,84,Business,Salaried,Finance,IT,111071,51021,ABC,1,Self Business:94912,Contractual:58994,Salaried:99311,0
D,49,2002,81,Arts,Contractual,Agriculture,IT,113812,37965,XYZ,0,NA,NA,NA,1
P,49,2011,89,Arts,Self Business,Finance,Civil,127727,71886,MNP,0,NA,NA,NA,1
P,41,2006,45,Law,Contractual,Civil,Finance,63401,20433,MNP,0,NA,NA,NA,0
Q,49,2021,54,STEM,Self Business,Finance,Civil,61738,66495,GHI,1,Self Business:104202,Self Business:56392,Contractual:115881,1
P,42,2002,65,STEM,Self Business,Civil,Finance,129834,48318,MNP,1,Contractual:107699,Contractual:76550,Contractual:64341,0
C,43,2013,88,STEM,Self Business,Agriculture,Finance,95498,63113,MNP,1,Contractual:147737,Contractual:105937,Self Business:59804,0
C,49,2006,53,Law,Contractual,Finance,Civil,57865,69511,GHI,1,Self Business:114454,Contractual:53195,Salaried:41375,0
Q,45,2000,61,STEM,Contractual,IT,Finance,72557,74838,TUK,0,NA,NA,NA,0
P,46,2001,86,Arts,Self Business,IT,Agriculture,132828,33019,MNP,1,Contractual:131153,Contractual:139181,Self Business:118982,1
P,41,1998,40,Arts,Contractual,Agriculture,Civil,32483,39654,TUK,1,Salaried:147270,Self Business:132787,Contractual:47058,1
C,48,2006,78,STEM,Contractual,Civil,Agriculture,118778,48837,ABC,1,Contractual:118337,Contractual:134642,Contractual:72461,1
P,48,2014,63,Law,Contractual,Finance,Civil,32299,54111,TUK,1,Contractual:145786,Self Business:136851,Salaried:96841,1
P,40,2003,76,Business,Contractual,Agriculture,IT,132620,40252,ABC,1,Contractual:84303,Self Business:93005,Self Business:53590,0
Q,44,2003,47,Business,Salaried,Agriculture,IT,89644,32749,TUK,1,Contractual:53331,Self Business:105677,Salaried:57720,0
D,40,2002,50,Business,Contractual,Civil,IT,55950,29866,XYZ,1,Self Business:130748,Contractual:78160,Salaried:129027,1
Q,48,2017,79,Business,Self Business,Finance,IT,141478,53522,GHI,0,NA,NA,NA,0
Q,42,2005,78,Business,Self Business,IT,Civil,130279,51244,ABC,1,Salaried:142039,Salaried:82697,Self Business:61727,0
D,46,2011,82,Arts,Contractual,IT,Civil,86764,20177,XYZ,0,NA,NA,NA,0
D,41,2006,47,STEM,Contractual,Civil,IT,35316,49605,MNP,0,NA,NA,NA,1
P,43,2007,71,Arts,Contractual,Civil,Finance,47772,39043,ABC,1,Self Business:100280,Contractual:58247,Salaried:138643,0
Q,49,2010,86,Business,Contractual,IT,Finance,122594,68882,ABC,0,NA,NA,NA,1
C,48,2020,76,Law,Self Business,Agriculture,Civil,51841,54237,MNP,1,Self Business:146240,Salaried:42828,Salaried:125837,1
P,48,2023,78,STEM,Salaried,Civil,IT,66813,49951,MNP,1,Contractual:51373,Self Business:53484,Self Business:74740,0
D,40,2020,65,Law,Contractual,IT,Civil,34409,31198,PQR,1,Self Business:87175,Salaried:59879,Self Business:97019,1
D,49,2020,88,Law,Contractual,Agriculture,Civil,60960,32042,MNP,0,NA,NA,NA,0
Q,47,2020,69,Arts,Self Business,Civil,Civil,138865,63089,TUK,1,Contractual:111198,Contractual:54247,Salaried:113036,1
D,49,2007,74,Law,Salaried,Finance,Civil,87781,75372,XYZ,1,Self Business:52484,Contractual:129233,Salaried:64264,1
C,43,2011,57,Arts,Salaried,Civil,Agriculture,123749,29537,MNP,1,Contractual:102617,Contractual:63343,Contractual:64573,0
P,49,2006,88,Arts,Contractual,Civil,Agriculture,60771,65841,XYZ,1,Self Business:144418,Self Business:49966,Self Business:65008,1
P,49,2008,63,Arts,Salaried,Agriculture,Finance,97740,55266,PQR,1,Salaried:89641,Self Business:132418,Self Business:70726,1
D,46,2007,46,Law,Contractual,Finance,Civil,129549,37572,GHI,0,NA,NA,NA,0
P,48,2023,80,Business,Salaried,Finance,IT,105350,70103,TUK,0,NA,NA,NA,0
Q,49,2003,46,STEM,Self Business,Agriculture,Civil,140948,36071,PQR,0,NA,NA,NA,0
D,45,2023,45,Business,Contractual,IT,Agriculture,55372,28396,ABC,0,NA,NA,NA,0
C,48,2007,85,STEM,Self Business,Finance,Agriculture,48699,59759,GHI,1,Self Business:33381,Self Business:37484,Salaried:39356,1
D,42,2005,76,STEM,Salaried,Civil,IT,84060,46067,ABC,1,Salaried:95745,Salaried:104549,Contractual:71097,1
C,43,2023,65,Business,Salaried,Agriculture,Agriculture,47016,54126,PQR,1,Contractual:29645,Salaried:38087,Salaried:39165,1
D,44,2020,49,Arts,Self Business,Agriculture,Civil,137076,63068,MNP,1,Salaried:55605,Self Business:146137,Self Business:120172,1
Q,47,1999,42,STEM,Salaried,Finance,Civil,98561,52986,GHI,0,NA,NA,NA,0
C,42,2020,71,Business,Self Business,Civil,Civil,104028,78150,GHI,1,Salaried:142654,Salaried:63929,Contractual:90113,1
P,48,2021,81,Business,Contractual,IT,Finance,45079,20836,ABC,1,Self Business:134758,Self Business:126369,Salaried:50148,0
P,40,2000,50,STEM,Contractual,Civil,IT,117746,64811,GHI,1,Contractual:131215,Self Business:110830,Contractual:94203,0
Q,43,2015,40,Arts,Self Business,Finance,Finance,144241,79725,GHI,1,Contractual:41495,Contractual:52230,Self Business:142227,1
C,40,2001,40,Business,Contractual,Finance,Civil,23340,76251,PQR,1,Self Business:71897,Salaried:79644,Salaried:76594,1
C,41,2016,84,Business,Salaried,Civil,Finance,94174,38568,XYZ,1,Contractual:86764,Contractual:40858,Salaried:149875,0
C,41,2022,68,Law,Contractual,Agriculture,IT,35472,77363,XYZ,1,Salaried:47443,Self Business:58278,Salaried:140391,1
Q,48,2015,74,Law,Self Business,Finance,Civil,76849,31378,ABC,1,Contractual:97270,Contractual:56164,Self Business:107669,1
P,42,2012,76,STEM,Self Business,Agriculture,Agriculture,88866,36275,TUK,1,Salaried:85661,Salaried:100276,Contractual:45694,0
C,43,2001,90,Arts,Salaried,Agriculture,Finance,66836,56713,ABC,0,NA,NA,NA,1
C,44,2021,50,Law,Self Business,Civil,Civil,69610,34224,TUK,1,Salaried:135897,Contractual:140576,Salaried:146405,1
Q,40,1999,87,Arts,Contractual,Civil,Civil,61398,70896,MNP,1,Self Business:146266,Salaried:107937,Contractual:142685,0
C,44,2003,49,Business,Contractual,IT,IT,25285,21596,ABC,1,Contractual:61867,Contractual:97515,Contractual:85037,1
D,42,2020,89,Business,Contractual,Agriculture,Agriculture,41525,43315,GHI,1,Self Business:138313,Salaried:46320,Contractual:131084,0
D,41,2008,81,Business,Salaried,Finance,Civil,146762,58191,ABC,1,Salaried:62944,Self Business:122220,Salaried:130348,0
Q,47,2019,40,STEM,Contractual,Finance,IT,46050,57928,GHI,0,NA,NA,NA,0
D,46,2021,51,Arts,Self Business,Civil,Civil,96565,38026,TUK,0,NA,NA,NA,1
C,41,2020,87,Law,Self Business,Finance,Civil,104823,37810,ABC,1,Contractual:58805,Contractual:68459,Self Business:42171,1
P,50,2009,54,Business,Contractual,Agriculture,Civil,97897,40499,XYZ,0,NA,NA,NA,1
P,42,2011,52,Arts,Contractual,IT,Civil,28927,23855,PQR,0,NA,NA,NA,1
Q,46,2013,72,Business,Salaried,Civil,Civil,54294,54736,TUK,1,Salaried:46657,Self Business:129356,Contractual:128688,0
D,41,2012,71,STEM,Contractual,IT,IT,147840,39229,XYZ,0,NA,NA,NA,0
Q,44,2001,42,Arts,Salaried,IT,IT,111876,51739,TUK,1,Contractual:92096,Self Business:76095,Contractual:65567,0
Q,49,2007,81,Arts,Contractual,IT,Civil,107055,36961,ABC,1,Salaried:83268,Self Business:128456,Self Business:80472,0
Q,41,2008,43,STEM,Contractual,Finance,Finance,35818,49507,PQR,0,NA,NA,NA,1
P,47,2021,84,Arts,Self Business,IT,Civil,69404,28992,GHI,0,NA,NA,NA,1
C,48,2023,41,Law,Contractual,IT,Finance,70227,77548,GHI,1,Self Business:37671,Self Business:34004,Contractual:40534,1
D,42,2001,60,Law,Salaried,Civil,Finance,146221,56278,XYZ,1,Salaried:59790,Self Business:80964,Salaried:144009,1
D,49,2011,44,Arts,Self Business,Finance,Finance,42693,20703,ABC,1,Contractual:127730,Self Business:56864,Salaried:95099,0
D,43,2005,81,Arts,Salaried,Agriculture,Finance,65270,57370,PQR,1,Self Business:83285,Self Business:144373,Salaried:89879,0
Q,49,2009,85,Business,Self Business,IT,Agriculture,57051,50899,XYZ,1,Salaried:67101,Contractual:94448,Salaried:147536,1
P,46,2016,50,Business,Self Business,Civil,Agriculture,43243,42140,TUK,1,Self Business:23272,Salaried:26848,Contractual:39050,1
P,42,2010,57,Arts,Self Business,Agriculture,IT,142987,67637,XYZ,0,NA,NA,NA,1
P,48,2012,88,Arts,Contractual,IT,Agriculture,133672,44623,TUK,0,NA,NA,NA,0
P,45,2002,77,STEM,Contractual,Finance,Agriculture,69203,54564,XYZ,0,NA,NA,NA,0
D,48,2021,71,Law,Self Business,Agriculture,Finance,120880,78012,GHI,0,NA,NA,NA,0
D,44,2008,42,Law,Self Business,Finance,Finance,142832,44087,TUK,1,Salaried:147156,Contractual:135082,Self Business:129174,0
C,46,2019,63,Business,Self Business,Civil,Agriculture,141406,55935,TUK,0,NA,NA,NA,0
C,50,2001,69,Law,Salaried,Finance,IT,84570,33043,XYZ,1,Salaried:50706,Salaried:89745,Salaried:142036,1
P,50,2022,48,Law,Self Business,Finance,Finance,61914,45395,ABC,0,NA,NA,NA,1
D,43,2020,49,Arts,Self Business,IT,Civil,124585,59230,ABC,1,Self Business:66192,Self Business:78558,Contractual:76519,1
P,48,2021,61,Business,Self Business,IT,Civil,128696,47395,TUK,0,NA,NA,NA,1
Q,48,2008,42,Business,Self Business,IT,Civil,96274,53801,GHI,0,NA,NA,NA,0
Q,49,2020,83,STEM,Self Business,Finance,Civil,51620,59288,GHI,1,Salaried:129467,Self Business:94492,Self Business:124579,1
D,43,2022,49,Law,Salaried,Finance,Finance,74546,45853,GHI,1,Contractual:61168,Contractual:47895,Contractual:81013,0
Q,42,2017,52,Business,Salaried,Agriculture,IT,115799,41129,GHI,1,Self Business:77586,Self Business:107324,Self Business:55542,1
C,46,2000,76,Arts,Self Business,Finance,Agriculture,62682,74210,PQR,1,Contractual:131313,Salaried:85460,Salaried:139326,0
Q,43,2004,68,Arts,Contractual,Civil,IT,122427,22319,MNP,1,Salaried:44124,Self Business:127262,Salaried:47554,0
Q,48,2013,45,Business,Self Business,IT,Agriculture,59852,44225,ABC,0,NA,NA,NA,0
C,45,2018,86,Arts,Salaried,Agriculture,Civil,132652,58778,PQR,0,NA,NA,NA,0
C,50,1999,85,Business,Salaried,IT,IT,58110,56294,XYZ,0,NA,NA,NA,0
C,44,2004,85,Arts,Salaried,IT,Finance,111724,23203,MNP,0,NA,NA,NA,0
D,42,2000,83,Arts,Salaried,Civil,Civil,114417,76905,PQR,0,NA,NA,NA,0
C,40,2021,86,Business,Self Business,Agriculture,IT,92494,77289,MNP,0,NA,NA,NA,0
D,44,1998,88,Business,Contractual,Finance,Agriculture,58132,46065,XYZ,0,NA,NA,NA,0
D,42,2001,83,Business,Salaried,IT,Finance,54792,34051,XYZ,1,Self Business:42198,Contractual:143793,Salaried:100067,1
D,49,2011,87,STEM,Contractual,Agriculture,IT,31728,61054,XYZ,0,NA,NA,NA,1
P,40,2020,54,Law,Self Business,Agriculture,Civil,61613,41552,ABC,1,Self Business:73617,Self Business:110417,Self Business:84156,1
P,47,2006,80,Business,Salaried,IT,Agriculture,57086,74251,ABC,1,Self Business:112085,Contractual:92987,Self Business:41949,0
D,43,2019,81,Business,Contractual,Agriculture,IT,89654,73047,GHI,0,NA,NA,NA,0
P,47,1998,90,Law,Self Business,Civil,Finance,116518,63247,ABC,1,Contractual:75669,Salaried:108281,Self Business:43761,0
P,44,2005,75,Arts,Contractual,Agriculture,Finance,137026,46193,XYZ,0,NA,NA,NA,1
Q,45,2021,79,Business,Self Business,Agriculture,Civil,141206,72285,PQR,1,Self Business:40576,Self Business:139346,Salaried:64639,1
P,43,2001,86,STEM,Salaried,Finance,Agriculture,110934,38388,XYZ,1,Contractual:148381,Contractual:144077,Salaried:53997,1
Q,44,2008,43,Business,Salaried,Finance,IT,105242,30671,ABC,0,NA,NA,NA,0
P,43,2014,51,Law,Contractual,Agriculture,Civil,80388,34907,ABC,1,Self Business:30976,Salaried:29288,Self Business:40533,1
D,47,2022,61,Business,Salaried,Agriculture,IT,132822,24771,XYZ,0,NA,NA,NA,0
C,40,2020,76,Business,Contractual,Civil,Civil,84870,22559,GHI,1,Self Business:98057,Salaried:73180,Salaried:40327,1
C,44,2016,60,Law,Contractual,Civil,Civil,130765,34541,XYZ,1,Self Business:134332,Salaried:113020,Self Business:148674,0
D,49,2010,69,Law,Contractual,Finance,Civil,72817,61161,MNP,0,NA,NA,NA,1
C,41,2001,89,Business,Self Business,Agriculture,Finance,111677,24628,ABC,1,Self Business:62189,Self Business:98681,Self Business:95435,0
P,49,2001,81,Arts,Salaried,Finance,IT,73630,45447,MNP,0,NA,NA,NA,0
Q,42,2016,42,Business,Self Business,Finance,IT,127370,51871,PQR,1,Salaried:112261,Contractual:55469,Self Business:132382,0
D,42,2004,44,Arts,Contractual,IT,Civil,35807,39912,GHI,1,Salaried:116613,Contractual:43121,Contractual:122843,1
D,40,2010,69,Business,Salaried,Finance,Agriculture,56436,44373,TUK,0,NA,NA,NA,0
D,40,2007,79,STEM,Self Business,Finance,Agriculture,146491,45983,TUK,0,NA,NA,NA,0
